scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,non_overlapping,3,logistic_group,15779,1.0,0.4188300356435029,0.3829981211721197,0.4611219406541044,0.3378292605522056,-0.0008349165555989,0.0013182656781711,0.0103947864123225
all,5,non_overlapping,3,logistic_time,15779,1.0,0.4114944627877507,0.353355993862355,0.4294750158127767,0.3232307204062202,0.0067999805210217,0.0009132271254147,0.0056126596993367
all,5,non_overlapping,3,logistic_time_group,15779,1.0,0.4150094989661186,0.3611791812109355,0.4349229114377913,0.3849571564582672,0.0057615239217058,0.0013658830826469,0.0054971779079245
all,5,non_overlapping,3,logistic_time_group_ticker,15779,1.0,0.4161249783548251,0.35711342029965,0.4373214285714286,0.3886067914947635,0.0054196124951531,0.0016579953005852,0.0058010695635139
all,5,non_overlapping,3,majority_baseline,15779,1.0,0.3333333333333333,0.2059188530214766,0.0,0.0,,,0.0039440255477434
all,5,non_overlapping,3,ridge_current,15779,1.0,0.3624673849286454,0.3288740889604508,0.4193471527281391,0.2792764201840685,-0.0019130878131446,0.0027447408177237,0.0105898510376941
all,5,non_overlapping,4,logistic_global,16337,1.0,0.403564865244755,0.3349331844893257,0.4302477183833116,0.2721873968987133,0.0094543563718502,0.0040601521590013,0.0109854422394266
all,5,non_overlapping,4,logistic_group,16337,1.0,0.3980069028819776,0.3430479980477085,0.4108212147134303,0.3168921148135928,0.0098585732005851,0.0042561625985395,0.0083388981687709
all,5,non_overlapping,4,logistic_time,16337,1.0,0.3995244453957609,0.3325045416126353,0.4302023871302542,0.2735070933685252,0.0098021138751244,0.004211716231096,0.010045224353013
all,5,non_overlapping,4,logistic_time_group,16337,1.0,0.3984988707918087,0.343434365275201,0.4203228006365083,0.3050148465852854,0.0099488370469997,0.0042218555487012,0.0085514850028373
all,5,non_overlapping,4,logistic_time_group_ticker,16337,1.0,0.4029005485983759,0.3463003655586412,0.4232001709036531,0.3267898383371824,0.0105925521735473,0.0042210829635822,0.0075066852890767
all,5,non_overlapping,4,majority_baseline,16337,1.0,0.3333333333333333,0.2040718088118699,0.0,0.0,,,0.0067638573569567
all,5,non_overlapping,4,ridge_current,16337,1.0,0.3478997345204646,0.293344223434941,0.3399938518290809,0.1824480369515011,0.0068273584823549,0.0057776230829142,0.0087673381949114
all,5,non_overlapping,5,logistic_global,16805,1.0,0.4075722453781489,0.364080430462076,0.4325832897261468,0.3682803682803682,0.0126738573467185,0.000707304070049,0.0055077935147091
all,5,non_overlapping,5,logistic_group,16805,1.0,0.4061786301380028,0.3632915561018118,0.4243785084202085,0.3929313929313929,0.0121710126579356,0.0004877624642019,0.005484379386669
all,5,non_overlapping,5,logistic_time,16805,1.0,0.396961287312092,0.3690529454963275,0.4203194650817236,0.336055836055836,0.010466659321137,0.0012410712607663,0.0065816076122246
