variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
baseline,10,1,software,correction,3054,0.4443352979698756,0.5556647020301244,2.778564683663834,0.07231582124901893,-0.06394255849735425,0.015088829134959866,131931,8995,-0.06394255849735425,overlapping,observed,all_eligible
baseline,10,1,software,range_bound,2162,0.5578168362627197,0.4421831637372803,3.0289256198347108,0.07481849519754916,-0.044390449987388864,0.02954591771299948,131931,8995,-0.044390449987388864,overlapping,observed,all_eligible
baseline,10,1,software,under_pressure,4479,0.44608171466845276,0.5539182853315472,2.885359620299379,0.059345190856028025,-0.05543336121193405,0.006048299404051766,131931,8995,-0.05543336121193405,overlapping,observed,all_eligible
baseline,10,1,software,uptrend,8805,0.46144236229415103,0.538557637705849,3.2982937830947243,0.06485583584792574,-0.052100160370290055,0.009641215717120219,131931,8995,-0.052100160370290055,overlapping,observed,all_eligible
baseline,10,2,other,acute_selloff,599,0.2654424040066778,0.7345575959933222,1.904040404040404,0.0978913722880201,-0.14455065248629398,-0.04397729980015946,151384,8303,-0.14455065248629398,overlapping,observed,all_eligible
baseline,10,2,other,correction,1848,0.5119047619047619,0.4880952380952381,2.3399412628487517,0.08886760153618141,-0.07252312172824163,0.01649026565506145,151384,8303,-0.07252312172824163,overlapping,observed,all_eligible
baseline,10,2,other,range_bound,935,0.5989304812834224,0.40106951871657753,2.8323442136498516,0.08682233228407135,-0.04164635556476009,0.03075415011808372,151384,8303,-0.04164635556476009,overlapping,observed,all_eligible
baseline,10,2,other,under_pressure,4092,0.49608993157380255,0.5039100684261975,3.0769822940723635,0.06170342743083616,-0.04636760452324233,0.018362423273317392,151384,8303,-0.04636760452324233,overlapping,observed,all_eligible
baseline,10,2,other,uptrend,16054,0.4578298243428429,0.5421701756571571,3.0422750944552233,0.062148241827489924,-0.04992846274442694,0.01101443879168704,151384,8303,-0.04992846274442694,overlapping,observed,all_eligible
baseline,10,2,semiconductor,acute_selloff,347,0.3919308357348703,0.6080691642651297,1.661596958174905,0.1083146426827557,-0.11229994833120541,-0.0027250848844694014,73886,4936,-0.11229994833120541,overlapping,observed,all_eligible
baseline,10,2,semiconductor,correction,1037,0.5776277724204436,0.4223722275795564,2.288551401869159,0.1033005457288962,-0.06570589691894468,0.040996192558249565,73886,4936,-0.06570589691894468,overlapping,observed,all_eligible
baseline,10,2,semiconductor,range_bound,519,0.5491329479768786,0.4508670520231214,2.3959899749373434,0.10117299961361007,-0.045004900292339944,0.04071683244130812,73886,4936,-0.045004900292339944,overlapping,observed,all_eligible
baseline,10,2,semiconductor,under_pressure,2053,0.47929858743302484,0.5207014125669751,2.4172757475083055,0.07792097091409257,-0.052523046484768084,0.03144618195647751,73886,4936,-0.052523046484768084,overlapping,observed,all_eligible
baseline,10,2,semiconductor,uptrend,8154,0.4384351238655874,0.5615648761344125,2.707846715328467,0.07493188879566612,-0.05835105292101029,0.014474697838625584,73886,4936,-0.05835105292101029,overlapping,observed,all_eligible
baseline,10,2,software,acute_selloff,630,0.326984126984127,0.6730158730158731,1.8986784140969164,0.11327952056968313,-0.12024190685083642,0.0011769937990055712,131931,8995,-0.12024190685083642,overlapping,observed,all_eligible
baseline,10,2,software,correction,1743,0.5794606999426276,0.42053930005737233,2.178131788559015,0.09237976289331548,-0.06843325775621495,0.02588026627291577,131931,8995,-0.06843325775621495,overlapping,observed,all_eligible
