ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
GHVIQ,Genesis Health Ventures Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
GMHIU,Gores Metropoulos Inc,NASDAQ,success,clean,464,464,0,0,2019-02-01,2020-12-02,464,True,50802,False
GSRMU,GSR II Meteora Acquisition Corp Unit,NASDAQ,success,clean,340,340,0,0,2022-02-23,2023-06-30,340,True,36915,True
GTPAW,Gores Technology Partners Inc,NASDAQ,success,warning,406,405,0,1,2021-05-06,2022-12-12,405,True,43602,False
GTWN,Georgetown Bancorp Inc (MD),NASDAQ,success,clean,350,350,0,0,2016-01-04,2017-05-23,0,False,38768,False
GVCIU,Green Visor Financial Technology Acquisition Corp I Unit,NASDAQ,success,clean,382,382,0,0,2021-11-09,2023-05-17,382,True,41847,True
GWACW,Good Works Acquisition Corp,NASDAQ,success,clean,183,183,0,0,2020-12-07,2021-08-27,183,True,19721,False
GWGH,GWG Holdings Inc,NASDAQ,success,clean,1635,1635,0,0,2016-01-04,2022-06-30,1132,True,176460,False
GY,Gencorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
HCCHU,HL Acquisitions Corp,NASDAQ,success,clean,619,619,0,0,2018-06-28,2020-12-10,619,True,67507,False
HPTX,Hyperion Therapeutics Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
HUNTW,Hunter Maritime Acquisition Corp,NASDAQ,success,clean,544,544,0,0,2017-01-26,2019-03-26,309,True,57511,False
IBLTZ,Impath Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
IMUL,Immulogic Pharmaceutical Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
KEYN,Keynote Systems Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
KINZU,Kins Technology Group Inc.,NASDAQ,success,clean,565,565,0,0,2020-10-22,2023-03-14,565,True,61960,False
LFIN1,Local Financial Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
LIFWW,MSP Recovery Inc.,NASDAQ,success,clean,598,598,0,0,2022-05-24,2024-12-06,598,True,69026,False
LIHR,Lihir Gold Ltd,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
LJAQW,LightJump Acquisition Corporation,NASDAQ,success,warning,476,464,0,12,2021-03-02,2022-12-30,464,True,52328,False
LMMKP,Landmark Infrastructure Partners LP,NASDAQ,success,clean,16,16,0,0,2018-03-28,2018-04-19,16,True,1721,False
LVTX,LAVA Therapeutics NV,NASDAQ,success,clean,1177,1177,0,0,2021-03-25,2025-11-28,1177,True,126164,False
MBRKQ,MiddleBrook Pharmaceuticals Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
MHGC,Morgans Hotel Group Company,NASDAQ,success,clean,231,231,0,0,2016-01-04,2016-11-30,0,False,24637,False
MNRK,Monarch Financial Holdings Inc,NASDAQ,success,clean,121,121,0,0,2016-01-04,2016-06-24,0,False,13658,False
MOLGY,MOL Global Inc,NASDAQ,success,clean,334,334,0,0,2016-01-04,2017-05-01,0,False,35711,False
MXIP,Max Internet Communications Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
NAFC,Nash Finch Co,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
NBTF,NB&T Financial Group Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
NCEM,Nevada Chemicals Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
NKBP,China Nuokang Bio-Pharmaceutical Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
NUGND,Livento Group Inc.,NASDAQ,success,clean,2574,2574,0,0,2016-01-04,2026-03-30,2071,True,271593,False
NXGN,Nextgen Healthcare Inc,NASDAQ,success,warning,1982,1981,0,1,2016-01-04,2023-11-14,1478,True,223067,False
NYMTI,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",NASDAQ,success,clean,340,340,0,0,2024-07-01,2025-11-25,340,True,38337,False
OPOF,Old Point Financial Corporation,NASDAQ,success,clean,2356,2356,0,0,2016-01-04,2025-08-29,1876,True,264788,False
OTRK,Ontrak Inc,NASDAQ,success,clean,2430,2430,0,0,2016-01-04,2025-09-02,1927,True,267635,False
PETVW,PetVivo Holdings Inc. Warrant,NASDAQ,success,clean,547,547,0,0,2021-08-11,2026-05-21,547,True,60454,True
PPHPR,PHP Ventures Acquisition Corp. Rights,NASDAQ,success,warning,248,246,0,2,2021-10-04,2024-04-04,246,True,27157,False
RARE1,Rare Hospitality International Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
RNERW,Mount Rainier Acquisition Corp. Warrant,NASDAQ,success,clean,290,290,0,0,2022-01-03,2023-02-28,290,True,32011,True
RNHDA,Reinhold Industries Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
ROCAR,ROC Energy Acquisition Corp. Rights,NASDAQ,success,clean,370,370,0,0,2021-12-29,2023-06-20,370,True,40290,False
RSIS,Rsi Systems Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
RTWI,Rtw Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
RUE,rue21 inc.,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
SCOP,Scopus Video Networks Ltd,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
