sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
57645,1.0,0.4036429872495446,0.48352849336455894,0.5263157894736842,0.6304796286745745,0.6159350728684877,0.6232073507715311,0.6662756212326758,0.5612372400699953,0.23679202418046183,-0.0736605992720951,all,5,correction,overlapping,pressure_downside_logistic_v1,4,1.0
57645,1.0,0.4036429872495446,0.2668574898083095,0.35461223428459987,0.2344421523121884,0.7112022573232103,0.4728222048176993,0.4728222048176994,0.39214811199495575,0.48123861566484516,-0.05009251081592995,all,5,correction,overlapping,ridge_down,0,
81558,1.0,0.3313960616984232,0.1723926530812428,0.4478662873399715,0.23298061269794287,0.8576379974326059,0.5453093050652744,0.5453093050652744,0.3585313662294588,0.34937099977929814,-0.06335292145768363,all,5,under_pressure,overlapping,general_logistic_down,4,1.0
81558,1.0,0.3313960616984232,0.0,,0.0,1.0,0.5,0.5,0.3313960616984232,0.3313960616984232,,all,5,under_pressure,overlapping,negative_baseline,4,1.0
81558,1.0,0.3313960616984232,0.37275313273989064,0.509555606723463,0.5731463667307977,0.7265725288831836,0.6498594478069906,0.7096944618374447,0.544639341916452,0.21726668483727765,-0.06848164305627116,all,5,under_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
81558,1.0,0.3313960616984232,0.23716864072194022,0.2692446880008272,0.19268906319372503,0.740784889051898,0.4667369761228115,0.4667369761228115,0.3194201717244303,0.44085190907084526,-0.040186379887374994,all,5,under_pressure,overlapping,ridge_down,0,
32746,1.0,0.42307457399377024,0.1824039577352959,0.4789887828561862,0.2065107550166017,0.8352741901333898,0.5208924725749957,0.5208924725749957,0.43462145948210373,0.4307396323215049,-0.06633762558570859,semiconductor,5,all_pressure,overlapping,general_logistic_down,4,0.75
32746,1.0,0.42307457399377024,0.0,,0.0,1.0,0.5,0.5,0.42307457399377024,0.42307457399377024,,semiconductor,5,all_pressure,overlapping,negative_baseline,4,0.75
32746,1.0,0.42307457399377024,0.5589384963048922,0.5019942085996831,0.6632019633318897,0.5175206436586915,0.5903613034952906,0.6316931400787396,0.5480010670170474,0.2483030123929752,-0.06760513863708364,semiconductor,5,all_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
32746,1.0,0.42307457399377024,0.19953582116899773,0.4075604530149985,0.19221885376064674,0.795098454372221,0.4936586540664339,0.49365865406643383,0.42009246744212675,0.4599645758260551,-0.05536900935181195,semiconductor,5,all_pressure,overlapping,ridge_down,0,
2373,1.0,0.4964180362410451,0.02654867256637168,0.4603174603174603,0.02461799660441426,0.9715481171548117,0.49808305687961296,0.49808305687961296,0.4955293123855409,0.49852507374631266,-0.06255711028774934,semiconductor,5,acute_selloff,overlapping,general_logistic_down,4,0.25
2373,1.0,0.4964180362410451,0.0,,0.0,1.0,0.5,0.5,0.4964180362410451,0.4964180362410451,,semiconductor,5,acute_selloff,overlapping,negative_baseline,4,0.25
2373,1.0,0.4964180362410451,0.7142857142857143,0.5156342182890855,0.7419354838709677,0.3129707112970711,0.5274530975840195,0.5435118028571226,0.5323444976839979,0.2730326530754268,-0.07224166498248281,semiconductor,5,acute_selloff,overlapping,pressure_downside_logistic_v1,4,1.0
